day,energy_sum
2013-08-01,7.920000000000001
2013-08-02,8.847000000000001
2013-08-03,7.746
2013-08-04,9.085
2013-08-05,9.564000000000004
2013-08-06,8.745000000000001
2013-08-07,8.784
2013-08-08,8.303000000000003
2013-08-09,9.381
2013-08-10,8.562
2013-08-11,8.567
2013-08-12,8.021
2013-08-13,7.709000000000001
2013-08-14,9.252
2013-08-15,10.067999900000002
2013-08-16,9.098
2013-08-17,8.702
2013-08-18,8.464000000000002
2013-08-19,8.498000000000001
2013-08-20,8.225000000000001
2013-08-21,9.566
2013-08-22,8.019000000000002
2013-08-23,8.18
2013-08-24,8.954999999999998
2013-08-25,8.910000000000002
2013-08-26,7.899
2013-08-27,10.4
2013-08-28,7.9369999999999985
2013-08-29,9.900000000000002
2013-08-30,8.046000000000001
2013-08-31,8.538
2013-09-01,8.051999999999998
2013-09-02,9.104
2013-09-03,5.722
2013-09-04,5.070999999999999
2013-09-05,5.052999999999999
2013-09-06,5.040000000000003
2013-09-07,4.783
2013-09-08,4.713000000000003
2013-09-09,4.57
2013-09-10,4.548000000000001
2013-09-11,4.995
2013-09-12,10.985
2013-09-13,12.525
2013-09-14,13.236
2013-09-15,11.626
2013-09-16,12.1569999
2013-09-17,13.628999999999998
2013-09-18,14.6100001
2013-09-19,21.969000000000005
2013-09-20,19.562999900000005
2013-09-21,16.236000100000002
2013-09-22,12.8470001
2013-09-23,12.034
2013-09-24,13.233999999999998
2013-09-25,9.384
2013-09-26,11.149999999999997
2013-09-27,8.993
2013-09-28,12.718000000000002
2013-09-29,14.694
2013-09-30,18.271000000000004
2013-10-01,20.042
2013-10-02,9.379
2013-10-03,8.072000000000001
2013-10-04,8.7069999
2013-10-05,8.687
2013-10-06,8.628000000000002
2013-10-07,9.695
2013-10-08,10.365000000000002
2013-10-09,10.074
2013-10-10,11.084
2013-10-11,11.654
2013-10-12,5.909000000000001
2013-10-13,14.135999899999998
2013-10-14,10.46
2013-10-15,20.3719998
2013-10-16,22.108000000000004
2013-10-17,16.0869999
2013-10-18,16.662000000000003
2013-10-19,13.422
2013-10-20,18.6009999
2013-10-21,12.294
2013-10-22,11.088
2013-10-23,9.155
2013-10-24,9.258
2013-10-25,13.6860001
2013-10-26,11.677000000000003
2013-10-27,10.010999999999996
2013-10-28,15.180000200000002
2013-10-29,11.762
2013-10-30,10.397
2013-10-31,9.519
2013-11-01,9.384
2013-11-02,13.311999900000004
2013-11-03,16.2
2013-11-04,9.736
2013-11-05,21.503
2013-11-06,11.627000000000002
2013-11-07,11.834
2013-11-08,26.19
2013-11-09,12.201999999999996
2013-11-10,25.556
2013-11-11,28.6589998
2013-11-12,18.2590001
2013-11-13,12.270000000000003
2013-11-14,12.202
2013-11-15,13.78
2013-11-16,9.942999999999998
2013-11-17,9.094
2013-11-18,10.364
2013-11-19,11.044999999999998
2013-11-20,16.814
2013-11-21,11.730000100000002
2013-11-22,11.528000000000004
2013-11-23,11.214000000000002
2013-11-24,14.340999999999996
2013-11-25,9.560000000000002
2013-11-26,10.631
2013-11-27,11.003000000000002
2013-11-28,10.513
2013-11-29,11.510000000000002
2013-11-30,7.858
2013-12-01,12.918
2013-12-02,9.061
2013-12-03,14.640999900000002
2013-12-04,17.015
2013-12-05,10.495
2013-12-06,14.648999999999996
2013-12-07,11.7599999
2013-12-08,18.28
2013-12-09,11.522
2013-12-10,12.882
2013-12-11,12.935
2013-12-12,12.897000000000004
2013-12-13,12.486
2013-12-14,11.432000099999996
2013-12-15,12.214000000000004
2013-12-16,12.406000000000002
2013-12-17,18.477000100000005
2013-12-18,14.436000000000002
2013-12-19,12.0730001
2013-12-20,13.171
2013-12-21,11.247
2013-12-22,12.025
2013-12-23,6.720999999999999
2013-12-24,4.781000000000001
2013-12-25,4.650000000000001
2013-12-26,4.706000000000002
2013-12-27,9.122
2013-12-28,13.657999900000004
2013-12-29,14.982
2013-12-30,15.082
2013-12-31,13.746000000000002
